row_index,true_label,scattering,mmlu_subject,gpt-oss-120b-working_answer,gpt-oss-120b-working_correct,gpt-oss-120b-working_proxy_request_id,gpt-oss-120b-working_truncated,gpt-oss-120b-working_prompt_tokens,gpt-oss-120b-working_completion_tokens,gpt-oss-120b-working_reasoning_tokens,gpt-oss-120b-working_answer_tokens,gpt-oss-120b-working_total_tokens,gpt-oss-120b-working_duration_ms,gpt-oss-120b-working_provider_latency_ms,gpt-oss-120b-working_queued_ms,gpt-oss-120b-working_generation_ms,gpt-oss-120b-working_ttft_ms,minimax-m2.5-229b_answer,minimax-m2.5-229b_correct,minimax-m2.5-229b_proxy_request_id,minimax-m2.5-229b_truncated,minimax-m2.5-229b_prompt_tokens,minimax-m2.5-229b_completion_tokens,minimax-m2.5-229b_reasoning_tokens,minimax-m2.5-229b_answer_tokens,minimax-m2.5-229b_total_tokens,minimax-m2.5-229b_duration_ms,minimax-m2.5-229b_provider_latency_ms,minimax-m2.5-229b_queued_ms,minimax-m2.5-229b_generation_ms,minimax-m2.5-229b_ttft_ms,middleware:simple_answer,middleware:simple_correct,middleware:simple_routed_model,middleware:simple_proxy_request_id,middleware:simple_truncated,middleware:simple_prompt_tokens,middleware:simple_completion_tokens,middleware:simple_reasoning_tokens,middleware:simple_answer_tokens,middleware:simple_total_tokens,middleware:simple_duration_ms,middleware:simple_provider_latency_ms,middleware:simple_queued_ms,middleware:simple_generation_ms,middleware:simple_ttft_ms,middleware:onnx_answer,middleware:onnx_correct,middleware:onnx_routed_model,middleware:onnx_proxy_request_id,middleware:onnx_truncated,middleware:onnx_prompt_tokens,middleware:onnx_completion_tokens,middleware:onnx_reasoning_tokens,middleware:onnx_answer_tokens,middleware:onnx_total_tokens,middleware:onnx_duration_ms,middleware:onnx_provider_latency_ms,middleware:onnx_queued_ms,middleware:onnx_generation_ms,middleware:onnx_ttft_ms,middleware:llm_answer,middleware:llm_correct,middleware:llm_routed_model,middleware:llm_proxy_request_id,middleware:llm_truncated,middleware:llm_prompt_tokens,middleware:llm_completion_tokens,middleware:llm_reasoning_tokens,middleware:llm_answer_tokens,middleware:llm_total_tokens,middleware:llm_duration_ms,middleware:llm_provider_latency_ms,middleware:llm_queued_ms,middleware:llm_generation_ms,middleware:llm_ttft_ms
1,C,0.818,,D,false,de3cfefb-cff9-4d7b-9255-97e3021484d3,false,,201,200,1,201,2847,2691,5,1155,1536,D,false,cb2eb4a9-a3ee-46d4-b628-80177a53b3cc,false,,293,291,2,293,3733,3704,2,2628,1076,D,false,minimax-m2.5-229b,dc76b2ca-f099-473f-a650-951f3e2853f4,false,,293,291,2,293,3733,3704,2,2628,1076,D,false,gpt-oss-120b-working,e90b022a-86fd-48e8-af70-32879637faac,false,,201,200,1,201,2847,2691,5,1155,1536,D,false,gpt-oss-120b-working,184c490a-e945-4d3c-9a4d-09a2c29c959b,false,,201,200,1,201,2847,2691,5,1155,1536
2,B,0.818,,C,false,c9eeee7a-659c-4626-9e00-0b711768568c,false,,544,543,1,544,4802,4760,2,3104,1656,C,false,2dce1e0a-6817-440e-aa70-902609bf82ef,false,,6180,6178,2,6180,61124,61074,2,59978,1096,C,false,minimax-m2.5-229b,2aa3224e-6111-481e-837f-bb2c23c8560c,false,,6180,6178,2,6180,61124,61074,2,59978,1096,C,false,gpt-oss-120b-working,182ba1ef-546a-417e-8b96-dc4bb8591c03,false,,544,543,1,544,4802,4760,2,3104,1656,C,false,gpt-oss-120b-working,3aeab7f6-6be1-4265-ab5e-96080223249e,false,,544,543,1,544,4802,4760,2,3104,1656
3,C,0.818,,A,false,a85b4578-3315-4158-b0d8-152ff0bad546,false,,409,408,1,409,3793,3758,3,2338,1420,D,false,e5abf6fc-b1d9-4aa4-b66b-ea524a3dc668,false,,2801,2799,2,2801,27549,27470,3,25906,1564,D,false,minimax-m2.5-229b,032ed25a-09ad-414b-95e7-1d234d107812,false,,2801,2799,2,2801,27549,27470,3,25906,1564,A,false,gpt-oss-120b-working,3fca88df-0b31-4b0e-9882-dfd14d835821,false,,409,408,1,409,3793,3758,3,2338,1420,A,false,gpt-oss-120b-working,29f51fcc-5f60-4680-8894-b6e5d30a25ab,false,,409,408,1,409,3793,3758,3,2338,1420
4,B,0.818,,B,true,d8903630-9a14-412f-92a3-2e5ee965ac73,false,,775,774,1,775,5473,5444,2,4423,1021,B,true,2f48a14e-2826-4c5a-8bc9-893c3004c224,false,,5449,5447,2,5449,53994,53904,2,52730,1174,B,true,minimax-m2.5-229b,c24d627d-1ae6-4d2f-a967-5daa2883c9ee,false,,5449,5447,2,5449,53994,53904,2,52730,1174,B,true,gpt-oss-120b-working,bc2758a3-10e1-4556-b386-5553eaa8c89e,false,,775,774,1,775,5473,5444,2,4423,1021,B,true,gpt-oss-120b-working,c825c293-2078-419a-80e1-cffd15db70ed,false,,775,774,1,775,5473,5444,2,4423,1021
5,D,0.818,,A,false,45438e96-7b89-474b-8973-4a1937924a51,false,,384,383,1,384,3669,3643,2,2191,1452,D,true,c1a1f716-6f52-4c7d-aad2-4b586db336fa,false,,1555,1553,2,1555,15375,15348,2,14121,1227,D,true,minimax-m2.5-229b,c8885ee8-cbaa-4247-8bc8-8a9b7bf5d605,false,,1555,1553,2,1555,15375,15348,2,14121,1227,A,false,gpt-oss-120b-working,3082f9d3-88a3-41c0-9d80-b8b1a85eed00,false,,384,383,1,384,3669,3643,2,2191,1452,A,false,gpt-oss-120b-working,3d0c0a3d-4cc6-4462-a38c-e9473ccd9fed,false,,384,383,1,384,3669,3643,2,2191,1452
6,A,0.818,,C,false,986f3da0-3ab6-4ff1-9bbb-95b3de014aba,false,,423,422,1,423,4200,4171,2,2817,1354,C,false,8c9a59eb-d449-442f-93f2-639471a6b3dc,false,,4074,4072,2,4074,39875,39820,2,38676,1144,C,false,minimax-m2.5-229b,7911d950-42e5-4bbc-8811-d17b4702576a,false,,4074,4072,2,4074,39875,39820,2,38676,1144,C,false,gpt-oss-120b-working,40d6ab84-c708-4e9b-a712-83f285c0ec44,false,,423,422,1,423,4200,4171,2,2817,1354,C,false,gpt-oss-120b-working,e47e5498-e6ca-428f-b770-28ad96e567b8,false,,423,422,1,423,4200,4171,2,2817,1354
7,A,0.818,,C,false,ec0f701a-eeea-410a-8cd5-1d6cf607e09e,false,,216,215,1,216,3123,3097,2,1456,1641,C,false,02dffa65-fdf9-4514-b20d-865a4336fa98,false,,2510,2508,2,2510,29062,29016,3827,23277,5739,C,false,minimax-m2.5-229b,742588b6-fef9-4524-a327-a06314663cb2,false,,2510,2508,2,2510,29062,29016,3827,23277,5739,C,false,gpt-oss-120b-working,e411364a-ce95-4359-ba4c-5cc2fea3be6d,false,,216,215,1,216,3123,3097,2,1456,1641,C,false,gpt-oss-120b-working,7053b3c9-ac6e-4e0f-bafb-e8da56ddc64b,false,,216,215,1,216,3123,3097,2,1456,1641
8,C,0.818,,C,true,08e7da5a-435d-43e6-b2dc-ed921722c3e0,false,,363,362,1,363,3720,3691,3,2077,1614,A,false,bcef66fd-f2aa-42d7-b53f-2875dd7a2a06,false,,5236,5234,2,5236,2030329,51688,3,50525,1163,A,false,minimax-m2.5-229b,0df90d5a-69db-4c93-8f85-18d0e966745e,false,,5236,5234,2,5236,2030329,51688,3,50525,1163,C,true,gpt-oss-120b-working,15fca0db-82e5-4fd4-8fab-3c5f4b563f09,false,,363,362,1,363,3720,3691,3,2077,1614,C,true,gpt-oss-120b-working,540279e2-bca2-4873-8d51-cc38dab87ed2,false,,363,362,1,363,3720,3691,3,2077,1614
9,D,0.818,,B,false,9874940f-7870-45b7-88c4-04cdac75864d,false,,123,122,1,123,2231,2196,3,715,1481,D,true,07588b59-edef-4cc3-83a5-e17fec419155,false,,3849,3847,2,3849,37511,37453,4,36189,1264,D,true,minimax-m2.5-229b,56d1b1d1-bbb6-4d7e-a76c-2a9c7edbabba,false,,3849,3847,2,3849,37511,37453,4,36189,1264,B,false,gpt-oss-120b-working,c3617bc1-7258-446b-a282-199c26ce52fc,false,,123,122,1,123,2231,2196,3,715,1481,B,false,gpt-oss-120b-working,0c1974e3-76bc-4167-b7a3-572e18ed0cda,false,,123,122,1,123,2231,2196,3,715,1481
10,D,0.818,,B,false,2b6e0692-1bc3-4b68-8195-2ee20748f8c6,false,,1168,1167,1,1168,7701,7664,2,6701,963,A,false,ff803f7b-4892-4d73-8c2b-52a1b8b643b1,false,,2769,2767,2,2769,27401,27354,3,25704,1650,A,false,minimax-m2.5-229b,db7e8e62-f64a-4c3f-8763-caf7c69cb6a0,false,,2769,2767,2,2769,27401,27354,3,25704,1650,B,false,gpt-oss-120b-working,dc914f47-0e63-4cde-9ce7-daf7631306b1,false,,1168,1167,1,1168,7701,7664,2,6701,963,B,false,gpt-oss-120b-working,428a170c-0f77-457a-a078-2d75a14f3d49,false,,1168,1167,1,1168,7701,7664,2,6701,963
